q_hokA	AE006468.2	55.000	20	9	0	5	24	933300	933241	0.45	24.6
q_hokA	AE006468.2	50.000	14	7	0	22	35	1196028	1196069	4.4	21.9
q_hokB	AE006468.2	50.000	16	8	0	31	46	138642	138595	3.1	22.3
q_hokB	AE006468.2	43.750	16	9	0	28	43	2237451	2237498	7.7	21.2
q_hokB	AE006468.2	50.000	16	8	0	28	43	3825609	3825656	9.0	20.8
q_hokB	AE006468.2	57.143	14	6	0	33	46	4456064	4456105	9.4	20.8
q_hokC	AE006468.2	38.889	36	20	1	9	42	2757676	2757569	2.8	22.3
q_hokC	AE006468.2	32.609	46	31	0	6	51	851299	851436	7.0	21.2
q_hokD	AE006468.2	33.333	39	26	0	1	39	1666909	1667025	1.9	23.1
q_hokD	AE006468.2	55.000	20	8	1	15	33	3979088	3979147	4.9	21.9
